tconst,min_age
tt11394180,14
tt10101702,7
tt0108041,18
tt5164438,14
tt9205538,18
tt15204288,7
tt5563324,14
tt15296598,0
tt0151121,14
tt1375670,14
tt2387433,14
tt1413495,14
tt15250998,14
tt8886670,18
tt0073195,7
tt0077766,7
tt0093300,14
tt1599348,18
tt0139654,18
tt0366621,14
tt0366621,14
tt0396659,14
tt0473658,7
tt0322645,7
tt1999167,14
tt0791188,7
tt1071815,7
tt0476680,7
tt10521144,7
tt10322274,14
tt8329618,18
tt15250050,0
tt7737528,18
tt14099462,18
tt15198608,18
tt15095938,14
tt6127004,18
tt15216504,14
tt12299824,18
tt5691024,7
tt6214722,18
tt15101938,18
tt6167894,14
tt4738912,0
tt11742798,7
tt0109134,14
tt0810784,7
tt4699202,14
tt0199626,18
tt10930586,14
tt0356470,7
tt0350261,14
tt1823672,18
tt0109444,14
tt0106582,18
tt0159365,18
tt0231402,7
tt0989757,14
tt0097216,18
tt4382872,18
tt0463998,14
tt1133985,14
tt0099800,18
tt0102065,18
tt0110064,18
tt0131436,18
tt0160401,18
tt0439630,14
tt0091369,7
tt0892318,7
tt4006302,14
tt0337592,14
tt1602479,18
tt1602479,18
tt0116996,14
tt5301662,14
tt0270980,18
tt0132347,14
tt0087843,18
tt0181739,7
tt0409182,14
tt0120014,18
tt1230168,14
tt0332379,14
tt5073746,14
tt0314353,18
tt0080453,18
tt0091129,14
tt0054953,14
tt2788710,18
tt0117218,14
tt0494652,14
tt0107206,18
tt1077097,18
tt5362988,18
tt1170399,14
tt1221133,14
tt4590256,14
tt0408976,14
tt0348662,14
tt0456500,18
tt5290620,18
tt2027138,18
tt0297241,14
tt1608777,18
tt1179781,14
tt1395054,14
tt1890513,18
tt2609218,18
tt0811066,18
tt1954206,14
tt14539744,14
tt8722624,18
tt2402157,18
tt12829958,18
tt15293256,18
tt6889042,18
tt15101946,7
tt11073148,14
tt11657662,18
tt8098636,14
tt14428606,18
tt10731768,18
tt6714432,7
tt1758692,14
tt0112553,14
tt15085784,18
tt13809646,14
tt11154906,18
tt11594766,14
tt15085794,18
tt2463288,18
tt0107822,18
tt15526612,18
tt10230994,18
tt14494898,18
tt13648220,14
tt12783454,14
tt2058107,18
tt15085802,18
tt1441951,14
tt14033300,18
tt13113544,18
tt14366176,7
tt6338498,7
tt2112124,14
tt4103686,18
tt13244024,14
tt2385126,7
tt10691162,18
tt0113280,18
tt11224358,14
tt15036416,18
tt0103786,7
tt0106375,7
tt0442933,14
tt0264464,14
tt0844471,7
tt0149261,18
tt0091042,14
tt6472976,14
tt0349467,18
tt0452625,18
tt1375666,14
tt0175880,18
tt0110443,14
tt0102492,14
tt0110613,7
tt0910936,18
tt0762125,7
tt5125894,14
tt0329575,14
tt0186566,14
tt0372588,18
tt1878870,18
tt1457765,18
tt0102266,18
tt1189340,18
tt0480255,14
tt0361862,18
tt0113957,14
tt0236388,18
tt0817230,14
tt7371662,14
tt9742794,18
tt2993406,14
tt12808182,18
tt2662230,7
tt12929990,14
tt14315566,18
tt8258074,14
tt2186731,18
tt13033790,14
tt10895576,14
tt8000718,18
tt1853728,18
tt13920016,18
tt14961160,18
tt6402468,18
tt1893273,18
tt6417830,7
tt6417854,7
tt6418390,7
