title,release_year,duration,tconst,averageRating
Dick Johnson Is Dead,2020,90,tt11394180,7.4
My Little Pony: A New Generation,2021,91,tt10101702,6.8
Sankofa,1993,125,tt0108041,7.0
The Starling,2021,104,tt5164438,6.3
Je Suis Karl,2021,127,tt9205538,5.5
Confessions of an Invisible Girl,2021,91,tt15204288,5.2
Intrusion,2021,94,tt5563324,5.2
Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,61,tt15296598,6.2
Jeans,1998,166,tt0151121,6.4
Grown Ups,2010,103,tt1375670,5.9
Dark Skies,2013,97,tt2387433,6.3
Paranoia,2013,106,tt1413495,5.6
Ankahi Kahaniya,2021,111,tt15250998,5.5
The Father Who Moves Mountains,2021,110,tt8886670,5.6
Jaws,1975,124,tt0073195,8.1
Jaws 2,1978,116,tt0077766,5.8
Jaws: The Revenge,1987,91,tt0093300,3.0
Safe House,2012,115,tt1599348,6.7
Training Day,2001,122,tt0139654,7.7
InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,99,tt0366621,7.3
InuYasha: The Movie 2: The Castle Beyond the Looking Glass,2002,99,tt0366621,7.3
InuYasha the Movie 3: Swords of an Honorable Ruler,2003,99,tt0396659,7.6
InuYasha the Movie 4: Fire on the Mystic Island,2004,88,tt0473658,7.2
InuYasha the Movie: Affections Touching Across Time,2001,100,tt0322645,7.2
Naruto Shippuden the Movie: Blood Prison,2011,102,tt1999167,7.1
Naruto the Movie 2: Legend of the Stone of Gelel,2005,97,tt0791188,6.4
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,95,tt1071815,6.3
Naruto the Movie: Ninja Clash in the Land of Snow,2004,83,tt0476680,6.6
Nightbooks,2021,103,tt10521144,5.7
Schumacher,2021,113,tt10322274,7.4
King of Boys,2018,182,tt8329618,6.1
You vs. Wild: Out Cold,2021,106,tt15250050,5.5
Kate,2021,106,tt7737528,6.2
Omo Ghetto: the Saga,2020,147,tt14099462,7.6
Prey,2021,87,tt15198608,4.3
Blood Brothers: Malcolm X & Muhammad Ali,2021,96,tt15095938,6.9
Paradise Hills,2019,95,tt6127004,5.3
The Women and the Murderer,2021,92,tt15216504,6.4
JJ+E,2021,91,tt12299824,5.3
Show Dogs,2018,90,tt5691024,3.9
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,97,tt6214722,7.8
Untold: Breaking Point,2021,80,tt15101938,7.6
Angamaly Diaries,2017,128,tt6167894,7.9
A Champion Heart,2018,90,tt4738912,6.0
Afterlife of the Party,2021,110,tt11742798,5.8
Anjaam,1994,143,tt0109134,6.6
Bright Star,2009,119,tt0810784,6.9
Gurgaon,2017,106,tt4699202,6.4
In the Cut,2003,118,tt0199626,5.4
Shikara,2020,115,tt10930586,3.3
A Cinderella Story,2004,95,tt0356470,5.9
An Unfinished Life,2005,108,tt0350261,7.0
Chappie,2015,121,tt1823672,6.8
Clear and Present Danger,1994,142,tt0109444,6.9
Cliffhanger,1993,113,tt0106582,6.5
Cold Mountain,2003,154,tt0159365,7.2
Crocodile Dundee in Los Angeles,2001,95,tt0231402,4.8
Dear John,2010,108,tt0989757,6.3
Do the Right Thing,1989,120,tt0097216,7.9
Extraction,2015,82,tt4382872,4.1
Freedom Writers,2007,124,tt0463998,7.6
Green Lantern,2011,114,tt1133985,5.5
House Party,1990,104,tt0099800,6.4
House Party 2,1991,94,tt0102065,5.2
House Party 3,1994,94,tt0110064,4.6
I Got the Hook Up,1998,93,tt0131436,4.0
In Too Deep,1999,97,tt0160401,6.2
Initial D,2005,109,tt0439630,6.3
Labyrinth,1986,101,tt0091369,7.3
Letters to Juliet,2010,105,tt0892318,6.5
Level 16,2018,102,tt4006302,6.1
Love Don't Cost a Thing,2003,101,tt0337592,5.2
Love in a Puff,2010,103,tt1602479,7.1
Love In A Puff,2010,103,tt1602479,7.1
Mars Attacks!,1996,106,tt0116996,6.4
Marshall,2017,118,tt5301662,7.3
My Boss's Daughter,2003,86,tt0270980,4.7
Mystery Men,1999,121,tt0132347,6.1
Once Upon a Time in America,1984,229,tt0087843,8.3
Osmosis Jones,2001,95,tt0181739,6.3
Poseidon,2006,98,tt0409182,5.7
Rhyme & Reason,1997,89,tt0120014,7.4
Same Kind of Different as Me,2017,120,tt1230168,6.6
School of Rock,2003,110,tt0332379,7.2
Snervous Tyler Oakley,2015,83,tt5073746,5.5
Tears of the Sun,2003,121,tt0314353,6.6
The Blue Lagoon,1980,105,tt0080453,5.8
The Golden Child,1986,94,tt0091129,5.9
The Guns of Navarone,1961,156,tt0054953,7.5
The Interview,2014,112,tt2788710,6.5
The Nutty Professor,1996,95,tt0117218,5.7
Welcome Home Roscoe Jenkins,2008,114,tt0494652,5.5
In the Line of Fire,1993,129,tt0107206,7.2
2 Alone in Paris,2008,97,tt1077097,5.4
Wind River,2017,107,tt5362988,7.7
C Kkompany,2008,127,tt1170399,5.5
EMI: Liya Hai To Chukana Padega,2008,128,tt1221133,4.4
He's All That,2021,92,tt4590256,4.4
Krishna Cottage,2004,124,tt0408976,5.1
Kucch To Hai,2003,136,tt0348662,4.3
Kyaa Kool Hai Hum,2005,165,tt0456500,6.1
Kyaa Kool Hain Hum 3,2016,124,tt5290620,1.9
Kyaa Super Kool Hain Hum,2012,136,tt2027138,5.0
Kyo Kii... Main Jhuth Nahin Bolta,2001,150,tt0297241,5.4
"LSD: Love, Sex Aur Dhokha",2010,112,tt1608777,7.2
Mission Istaanbul: Darr Ke Aagey Jeet Hai,2008,119,tt1179781,3.5
Once Upon a Time in Mumbaai,2010,133,tt1395054,7.4
Ragini MMS,2011,93,tt1890513,5.1
Ragini MMS 2,2014,113,tt2609218,3.9
Shootout at Lokhandwala,2007,116,tt0811066,7.1
The Dirty Picture,2011,145,tt1954206,6.6
"Bob Ross: Happy Accidents, Betrayal & Greed",2021,93,tt14539744,6.9
Really Love,2020,95,tt8722624,6.1
The November Man,2014,108,tt2402157,6.2
The Old Ways,2020,90,tt12829958,5.4
The River Runner,2021,86,tt15293256,6.9
Count Me In,2021,82,tt6889042,6.8
Untold: Caitlyn Jenner,2021,70,tt15101946,6.4
Boomika,2021,122,tt11073148,5.5
The Witcher: Nightmare of the Wolf,2021,84,tt11657662,7.2
Gunshot,2018,96,tt8098636,6.8
Man in Love,2021,115,tt14428606,6.9
Sweet Girl,2021,110,tt10731768,5.5
The Loud House Movie,2021,88,tt6714432,6.1
Like Crazy,2011,91,tt1758692,6.6
Bombay,1995,135,tt0112553,8.1
Memories of a Murderer: The Nilsen Tapes,2021,86,tt15085784,6.3
Nneka The Pretty Serpent,2020,140,tt13809646,3.9
Out of my league,2020,92,tt11154906,6.1
The Secret Diary of an Exchange Student,2021,97,tt11594766,5.3
Untold: Deal With the Devil,2021,78,tt15085794,7.3
Walk of Shame,2014,94,tt2463288,6.0
The Piano,1993,121,tt0107822,7.5
Unroyal,2020,97,tt15526612,5.4
Beckett,2021,110,tt10230994,5.6
Lokillo: Nothing's the Same,2021,64,tt14494898,4.8
Misha and the Wolves,2021,90,tt13648220,6.7
The Kissing Booth 3,2021,114,tt12783454,4.8
The Railway Man,2013,108,tt2058107,7.1
Untold: Malice at the Palace,2021,70,tt15085802,7.5
Quartet,2012,98,tt1441951,6.8
Slay,2021,86,tt14033300,3.4
Quam's Money,2020,115,tt13113544,4.0
Vivo,2021,100,tt14366176,7.8
Vivo,2021,100,tt6338498,6.7
Chennai Express,2013,135,tt2112124,6.0
City of God: 10 Years Later,2013,69,tt4103686,6.4
Lady Boss: The Jackie Collins Story,2021,97,tt13244024,6.8
'76,2016,118,tt2385126,5.5
Aftermath,2021,115,tt10691162,5.3
Heavy,1995,104,tt0113280,6.8
Pray Away,2021,102,tt11224358,6.5
Shiny_Flakes: The Teenage Drug Lord,2021,97,tt15036416,7.3
Beethoven,1992,87,tt0103786,5.7
Beethoven's 2nd,1993,88,tt0106375,4.9
Beowulf,2007,114,tt0442933,6.3
Catch Me If You Can,2002,142,tt0264464,8.1
Cloudy with a Chance of Meatballs,2009,90,tt0844471,6.9
Deep Blue Sea,1999,105,tt0149261,5.9
Ferris Bueller's Day Off,1986,103,tt0091042,7.8
Five Feet Apart,2019,116,tt6472976,7.2
Freedomland,2006,113,tt0349467,5.1
Good Luck Chuck,2007,99,tt0452625,5.6
Inception,2010,148,tt1375666,8.8
Magnolia,1999,189,tt0175880,8.0
Major Payne,1995,97,tt0110443,6.2
My Girl,1991,102,tt0102492,6.9
My Girl 2,1994,99,tt0110613,5.3
Pineapple Express,2008,112,tt0910936,6.9
Planet 51,2009,91,tt0762125,6.0
Poms,2019,91,tt5125894,6.1
Seabiscuit,2003,141,tt0329575,7.3
Space Cowboys,2000,130,tt0186566,6.5
Team America: World Police,2004,98,tt0372588,7.2
The Edge of Seventeen,2016,105,tt1878870,7.3
The Haunting in Connecticut 2: Ghosts of Georgia,2013,101,tt1457765,5.3
The Last Boy Scout,1991,105,tt0102266,7.0
The Lincoln Lawyer,2011,118,tt1189340,7.3
The Losers,2010,97,tt0480255,6.3
The Machinist,2004,102,tt0361862,7.7
The Net,1995,114,tt0113957,5.9
The Original Kings of Comedy,2000,111,tt0236388,6.8
Valentine's Day,2010,125,tt0817230,5.7
The Lost Café,2018,76,tt7371662,7.0
The Vault,2021,118,tt9742794,6.4
Eyes of a Thief,2014,103,tt2993406,6.5
The Last Mercenary,2021,112,tt12808182,5.3
Flower Girl,2013,94,tt2662230,5.9
Resort to Love,2021,102,tt12929990,5.7
Bartkowiak,2021,92,tt14315566,5.1
Fantastic Fungi,2019,81,tt8258074,7.4
Department,2012,143,tt2186731,3.2
Hostage House,2021,86,tt13033790,3.9
Mimi,2021,132,tt10895576,7.9
The Operative,2019,117,tt8000718,5.8
Django Unchained,2012,165,tt1853728,8.4
African America,2021,97,tt13920016,5.5
Bankrolled,2021,97,tt14961160,4.1
Blood Red Sky,2021,123,tt6402468,6.1
The Last Letter From Your Lover,2021,111,tt1893273,6.7
Chhota Bheem and The ShiNobi Secret,2013,64,tt6417830,8.4
Chhota Bheem Aur Hanuman,2012,68,tt6417854,7.6
Chhota Bheem in African Safari,2015,62,tt6418390,6.9
Chhota Bheem: Dus Pe Dus,2014,63,tt6417940,5.6
Chhota Bheem: Master of Shaolin,2011,74,tt6442670,6.5
Cousins,2021,99,tt10483044,7.0
Sanitation Day,2020,105,tt13445916,3.2
Trollhunters: Rise of the Titans,2021,106,tt12851396,6.7
Milkwater,2020,102,tt9165740,6.0
Cosmic Sin,2021,88,tt11762434,2.5
Deep,2021,101,tt14880258,4.8
The Beguiled,2017,94,tt5592248,6.3
The Book of Henry,2017,105,tt4572792,6.5
The Twilight Saga: Eclipse,2010,124,tt1325004,5.0
The Twilight Saga: New Moon,2009,131,tt1259571,4.7
Twilight,2008,122,tt1099212,5.3
A Perfect Fit,2021,113,tt13606090,5.4
Emicida: AmarElo - Live in São Paulo,2021,100,tt14910946,7.8
My Amanda,2021,90,tt13136084,5.8
Surf's Up,2007,86,tt0423294,6.7
The Unknown Saint,2019,100,tt10077998,6.5
A Classic Horror Story,2021,95,tt12877640,5.7
Gunpowder Milkshake,2021,115,tt8368408,6.0
Private Network: Who Killed Manuel Buendía?,2021,100,tt14880310,6.9
The Guide to the Perfect Family,2021,102,tt11991786,6.4
American Woman,2019,87,tt9109492,5.1
Day of Destiny,2021,110,tt15149712,5.2
Born to Play,2020,93,tt12615654,6.8
American Ultra,2015,96,tt3316948,6.1
Finding Hubby,2020,105,tt13540496,4.2
Last Summer,2021,102,tt13067004,6.3
Back to Q82,2017,104,tt6225842,4.5
Home Again,2017,97,tt5719700,5.8
Midnight Sun,2018,91,tt4799066,6.6
Rock the Kasbah,2015,106,tt3164256,5.5
Brick Mansions,2014,90,tt1430612,5.6
Major Grom: Plague Doctor,2021,138,tt7601480,6.3
Mama Drama,2020,105,tt12424356,6.3
Tango With Me,2010,104,tt1686795,6.3
This Little Love Of Mine,2021,92,tt12546872,5.3
Three Thieves,2019,108,tt11133472,8.2
Rise: Ini Kalilah,2018,101,tt9866736,5.0
Si Doel the Movie 2,2019,95,tt10290062,6.8
Truckbhar Swapna,2018,128,tt5774888,6.1
Ujala,1959,143,tt0157132,6.8
Haseen Dillruba,2021,136,tt11027830,6.9
Snowpiercer,2013,126,tt1706620,7.1
The 8th Night,2021,116,tt14781176,5.3
Winchester,2018,100,tt1072748,5.4
6 Bullets,2012,115,tt1975249,6.0
Air Force One,1997,125,tt0118571,6.5
Austin Powers in Goldmember,2002,94,tt0295178,6.2
Austin Powers: International Man of Mystery,1997,90,tt0118655,7.0
Austin Powers: The Spy Who Shagged Me,1999,95,tt0145660,6.6
Boogie Nights,1997,155,tt0118749,7.9
Charlie's Angels,2000,98,tt0160127,5.6
Congo,1995,108,tt0112715,5.2
Dennis the Menace,1993,96,tt0106701,5.6
Dreamy Eyes,2019,117,tt10622410,6.9
Dynasty Warriors,2021,118,tt7587604,4.7
Kung Fu Panda,2008,94,tt0441773,7.6
Kung Fu Panda 2,2011,93,tt1302011,7.2
Life as We Know It,2010,115,tt1055292,6.5
Memoirs of a Geisha,2005,145,tt0397535,7.3
Midnight Run,1988,126,tt0095631,7.5
Mobile Suit Gundam Hathaway,2021,96,tt13288678,6.6
Mortal Kombat,1995,101,tt0113855,5.8
Mother's Day,2016,118,tt4824302,5.6
No Strings Attached,2011,109,tt1411238,6.2
Not Another Teen Movie,2001,89,tt0277371,5.7
