tconst,genre_id
tt11394180,7
tt10101702,9
tt0108041,8
tt5164438,4
tt9205538,8
tt15204288,9
tt5563324,29
tt15296598,9
tt0151121,4
tt1375670,4
tt2387433,13
tt1413495,29
tt15250998,8
tt8886670,8
tt0073195,0
tt0077766,8
tt0093300,0
tt1599348,0
tt0139654,8
tt0366621,0
tt0396659,0
tt0473658,0
tt0322645,0
tt1999167,0
tt0791188,0
tt1071815,0
tt0476680,0
tt10521144,9
tt10322274,7
tt8329618,8
tt15250050,9
tt7737528,0
tt14099462,0
tt15198608,15
tt15095938,7
tt6127004,22
tt15216504,7
tt12299824,8
tt5691024,9
tt6214722,7
tt15101938,7
tt6167894,0
tt4738912,9
tt11742798,4
tt0109134,8
tt0810784,8
tt4699202,8
tt0199626,29
tt10930586,8
tt0356470,9
tt0350261,8
tt1823672,0
tt0109444,0
tt0106582,0
tt0159365,8
tt0231402,0
tt0989757,8
tt0097216,3
tt4382872,0
tt0463998,8
tt1133985,0
tt0099800,4
tt0102065,4
tt0110064,4
tt0131436,0
tt0160401,29
tt0439630,0
tt0091369,0
tt0892318,4
tt4006302,22
tt0337592,4
tt1602479,4
tt0116996,4
tt5301662,8
tt0270980,4
tt0132347,0
tt0087843,3
tt0181739,0
tt0409182,0
tt0120014,7
tt1230168,8
tt0332379,4
tt5073746,7
tt0314353,0
tt0080453,8
tt0091129,0
tt0054953,0
tt2788710,0
tt0117218,4
tt0494652,4
tt0107206,0
tt1077097,4
tt5362988,8
tt1170399,0
tt1221133,4
tt4590256,4
tt0408976,0
tt0348662,8
tt0456500,4
tt5290620,4
tt2027138,4
tt0297241,4
tt1608777,8
tt1179781,0
tt1395054,8
tt1890513,13
tt2609218,13
tt0811066,0
tt1954206,4
tt14539744,7
tt8722624,8
tt2402157,0
tt12829958,13
tt15293256,7
tt6889042,7
tt15101946,7
tt11073148,13
tt11657662,0
tt8098636,8
tt14428606,8
tt10731768,0
tt6714432,9
tt1758692,8
tt0112553,8
tt15085784,7
tt13809646,8
tt11154906,4
tt11594766,4
tt15085794,7
tt2463288,4
tt0107822,3
tt15526612,8
tt10230994,0
tt14494898,27
tt13648220,7
tt12783454,4
tt2058107,8
tt15085802,7
tt1441951,4
tt14033300,4
tt13113544,4
tt14366176,9
tt6338498,9
tt2112124,0
tt4103686,7
tt13244024,7
tt2385126,8
tt10691162,13
tt0113280,8
tt11224358,7
tt15036416,7
tt0103786,9
tt0106375,9
tt0442933,0
tt0264464,8
tt0844471,9
tt0149261,0
tt0091042,3
tt6472976,8
tt0349467,8
tt0452625,4
tt1375666,0
tt0175880,8
tt0110443,4
tt0102492,8
tt0110613,9
tt0910936,0
tt0762125,9
tt5125894,4
tt0329575,8
tt0186566,0
tt0372588,0
tt1878870,4
tt1457765,13
tt0102266,0
tt1189340,8
tt0480255,0
tt0361862,8
tt0113957,29
tt0236388,27
tt0817230,4
tt7371662,8
tt9742794,0
tt2993406,8
tt12808182,0
tt2662230,4
tt12929990,4
tt14315566,0
tt8258074,7
tt2186731,0
tt13033790,29
tt10895576,4
tt8000718,8
tt1853728,0
tt13920016,8
tt14961160,4
tt6402468,0
tt1893273,8
tt6417830,9
tt6417854,9
tt6418390,9
tt6417940,9
tt6442670,9
tt10483044,8
tt13445916,8
tt12851396,9
tt9165740,4
tt11762434,0
tt14880258,8
tt5592248,8
tt4572792,8
tt1325004,8
tt1259571,8
tt1099212,0
tt13606090,4
tt14910946,7
tt13136084,8
tt0423294,9
tt10077998,4
tt12877640,13
tt8368408,0
tt14880310,7
tt11991786,4
tt9109492,8
tt15149712,9
tt12615654,7
tt3316948,0
tt13540496,4
tt13067004,8
tt6225842,4
tt5719700,4
tt4799066,8
tt3164256,4
tt1430612,0
tt7601480,0
tt12424356,8
tt1686795,8
tt12546872,15
tt11133472,4
tt9866736,8
tt10290062,8
tt5774888,4
tt0157132,8
tt11027830,15
tt1706620,0
tt14781176,13
tt1072748,13
tt1975249,0
tt0118571,0
tt0295178,0
tt0118655,4
tt0145660,0
tt0118749,4
tt0160127,0
tt0112715,0
tt0106701,9
tt10622410,8
tt7587604,0
tt0441773,9
tt1302011,9
tt1055292,4
tt0397535,8
tt0095631,0
tt13288678,0
tt0113855,0
tt4824302,4
tt1411238,4
tt0277371,4
tt5690810,8
tt0814314,8
tt0815236,4
tt0184907,9
tt0796366,0
tt0164912,9
tt8484012,4
tt0415306,0
tt1440728,8
tt4807408,8
tt0119174,29
tt0087538,0
tt0091326,0
tt0097647,9
tt0289992,8
tt0081071,0
tt0436697,8
tt0482606,13
tt0164184,0
tt1243957,0
tt0320691,0
tt1496025,0
tt0834001,0
tt13149312,8
tt0120889,8
tt0123324,8
tt6733874,0
tt7558302,29
tt14880428,4
tt11460976,8
tt1764234,8
tt9176600,7
tt2091312,8
tt3758814,0
tt9337574,7
tt11263022,13
tt8231668,4
tt13323092,7
tt14549558,4
tt3102208,4
tt4796634,4
tt3764686,15
tt0159510,0
tt0159511,0
tt0095262,0
tt4733624,8
tt10661848,0
tt11831084,4
tt0159509,0
tt11091664,8
tt10537484,8
tt6670074,8
tt1045658,4
tt1366338,8
tt11892916,8
tt10525672,0
tt0068562,7
tt1663207,4
tt7983744,0
tt0469589,7
tt11906032,7
tt7646322,13
tt11143434,4
tt6964940,9
tt5562070,9
tt2828996,4
tt1918638,8
tt14023894,8
tt2459156,8
tt10418662,8
tt3012648,4
tt1686821,0
tt2368254,8
tt11822492,8
tt14539726,7
tt14599938,4
tt14611368,4
tt11658120,0
tt13032716,4
tt13079086,7
tt14773250,7
tt5616176,8
tt1823059,8
tt0244000,0
tt1123894,4
tt0185183,0
tt0118742,8
tt14074470,4
tt1466054,4
tt0306685,0
tt0249478,29
tt4504438,7
tt1117385,0
tt0817177,4
tt0119141,4
tt10377292,4
tt0277027,8
tt0119572,4
tt0405159,8
tt1978480,8
tt1186367,0
tt0335438,0
tt0088194,0
tt0244244,0
tt0082405,4
tt1254322,8
tt0373926,29
tt4501454,4
tt0117057,4
tt0075029,0
tt7645780,8
tt6829180,29
tt14211236,4
tt4682786,8
tt7084386,9
tt13446126,13
tt8900142,8
tt14025788,8
tt12939812,7
tt3522136,8
tt2224026,9
tt5884960,9
tt0993840,0
tt13409790,8
tt1826603,8
tt1742334,0
tt5751998,29
tt0174852,7
tt10393074,7
tt11213600,4
tt4573516,8
tt14554338,4
tt14217100,8
tt9013182,8
tt7385538,4
tt6111574,8
tt0375912,14
tt6341832,8
tt14928724,4
tt10101806,8
tt8354582,14
tt11604676,8
tt2072233,0
tt3268850,7
tt7290740,7
tt7716120,8
tt2101341,0
tt6256978,7
tt6269368,8
tt12517908,9
tt0096913,0
tt1231583,0
tt0947810,0
tt1028532,9
tt5460522,8
tt1277953,9
tt0327056,8
tt1023111,0
tt0111282,0
tt0473705,8
tt4867110,4
tt1093357,0
tt0380510,8
tt0253867,4
tt0190138,0
tt3503406,8
tt0105690,0
tt1007028,4
tt12553430,8
tt9165458,8
tt7979580,9
tt1285009,13
tt10962368,13
tt14371060,4
tt1217613,0
tt7295450,29
tt5191238,4
tt4003066,4
tt5114588,4
tt0384116,0
tt5036442,4
tt4974684,4
tt4505260,4
tt12282600,8
tt0270053,4
tt14404280,13
tt14167424,7
tt9203694,8
tt4452274,8
tt3203290,7
tt4540710,29
tt0103671,8
tt1934231,0
tt0473367,4
tt1447508,4
tt14091818,8
tt2554274,13
tt2723358,8
tt11867144,9
tt10662234,8
tt1979320,0
tt1730768,8
tt4815122,0
tt11916314,7
tt9271164,29
tt14164234,8
tt7866320,8
tt1560747,8
tt0083365,6
tt13598976,8
tt14318430,7
tt6660922,8
tt10098288,4
tt10121392,0
tt13081264,8
tt11394170,7
tt10687070,4
tt13297136,8
tt9264728,13
tt0384793,4
tt4743226,0
tt6197400,0
tt9680512,8
tt13103212,15
tt12154638,4
tt10307724,8
tt1024255,4
tt2114504,9
tt1190080,0
tt1187043,4
tt2122340,4
tt10777716,7
tt1591095,13
tt1694021,0
tt5595168,0
tt0250494,4
tt0117011,0
tt0058385,3
tt6014472,0
tt15127876,0
tt6977240,0
tt1135084,0
tt11668994,8
tt10963790,0
tt0253474,8
tt0814335,13
tt0176269,0
tt0315642,8
tt5635638,7
tt1068680,4
tt6938828,8
tt11843712,7
tt12439210,7
tt2304771,8
tt1212450,8
tt11388278,9
tt9684220,4
tt8512986,8
tt0159382,8
tt13167556,4
tt11142762,4
tt12013758,8
tt13932162,9
tt14152756,7
tt2431286,8
tt13082008,8
tt14288764,13
tt9624766,0
tt13370858,4
tt7897330,29
tt9387250,0
tt8607728,8
tt2473602,8
tt1615065,8
tt11803618,8
tt3691740,9
tt8704802,7
tt10731386,7
tt4324242,4
tt13045890,8
tt1587263,4
tt8521876,9
tt11835236,8
tt8747160,13
tt10275546,4
tt11829884,4
tt11734264,0
tt11470064,4
tt1904996,0
tt1702439,8
tt6432466,4
tt2883434,8
tt11112526,0
tt14058484,7
tt2311862,7
tt0099348,0
tt5571754,4
tt0095953,3
tt0365830,4
tt3553976,4
tt11698630,4
tt0442236,8
tt1781922,0
tt1637706,4
tt8907992,15
tt1223975,8
tt3042408,15
tt11936782,8
tt11994750,7
tt13842562,7
tt11191344,8
tt1457767,13
tt3065204,13
tt12899858,4
tt5208252,8
tt12573294,8
tt7679306,7
tt9343754,4
tt8126390,7
tt0319020,0
tt4902904,9
tt12423052,4
tt10882938,8
tt10676012,4
tt1211890,8
tt11307814,15
tt13846542,4
tt1178658,7
tt7643622,8
tt2005151,4
tt10097484,0
tt12397078,8
tt12676326,8
tt12838766,0
tt13787118,7
tt13723064,4
tt9660688,0
tt0118708,0
tt9067182,8
tt1130884,29
tt0200465,8
tt2197936,8
tt1999890,13
tt9845564,0
tt3661210,8
tt13947978,7
tt7268736,4
tt10279104,4
tt14605914,8
tt1458175,8
tt6571548,8
tt8431078,4
tt3547306,8
tt10303430,29
tt2312718,0
tt2558484,0
tt3416532,8
tt1830643,13
tt6317180,8
tt10451914,0
tt11727004,9
tt9794630,29
tt13866142,8
tt6469960,8
tt11287390,15
tt13649700,7
tt1675434,4
tt0451631,8
tt0476527,4
tt0373856,8
tt11213372,4
tt11799742,8
tt2261287,9
tt11161474,8
tt0233856,0
tt1540128,4
tt6527456,0
tt0795351,13
tt0092948,27
tt1657510,8
tt0119215,9
tt1213585,7
tt0758758,0
tt0095690,4
tt10338308,7
tt13583144,7
tt1401152,0
tt13667212,4
tt0108550,3
tt4341390,8
tt3359290,4
tt11749980,0
tt9543488,4
tt13212006,13
tt1192628,9
tt7600716,8
tt11651796,4
tt10555482,15
tt10600398,9
tt10589924,4
tt7885874,9
tt10156112,8
tt2245195,0
tt10539608,8
tt10329134,8
tt10362466,8
tt13517474,17
tt13615386,7
tt4685806,4
tt10054316,4
tt10514222,8
tt0863091,9
tt1351669,8
tt5001754,0
tt10640262,8
tt7127344,4
tt9389622,15
tt2244376,8
tt3216348,13
tt1327773,8
tt4550098,8
tt5932728,8
tt13055780,4
tt11394338,7
tt10161886,4
tt7805960,8
tt13345636,8
tt3264438,8
tt10637682,4
tt11530234,8
tt10287954,4
tt13610390,7
tt13292206,9
tt1712261,8
tt8706138,0
tt8784956,0
tt13446424,4
tt11792734,4
tt10618286,8
tt6693156,9
tt10044704,8
tt7343574,4
tt13354204,4
tt2769454,4
tt11692986,4
tt3699816,4
tt2172934,0
tt13260836,9
tt0808151,29
tt2883512,4
tt1605798,8
tt0385880,9
tt6850820,0
tt0102744,0
tt0382625,29
tt1308728,0
tt13328840,8
tt6610158,29
tt11697484,0
tt8741182,9
tt11499506,0
tt10530176,15
tt12971924,15
tt9270416,4
tt7686876,4
tt6508228,13
tt13528990,17
tt11057644,9
tt9110340,13
tt6772802,8
tt13353486,8
tt11656172,0
tt13276386,7
tt2002718,0
tt11378154,9
tt0400234,8
tt1729637,0
tt1578261,4
tt4338154,8
tt1783350,15
tt1948150,0
tt4814290,8
tt11199410,9
tt9248252,4
tt1397492,4
tt9140354,8
tt4669986,8
tt6176928,7
tt1985966,9
tt0047673,9
tt8748236,29
tt13502066,9
tt7736496,9
tt12190648,7
tt10627584,8
tt1243381,15
tt9060390,8
tt2334649,8
tt7212754,4
tt11254858,8
tt0926129,13
tt0170799,7
tt13279528,8
tt11481312,8
tt13388018,8
tt7937168,8
tt1588878,4
tt9526822,8
tt13318052,4
tt2590280,8
tt13236566,9
tt11199310,8
tt11656548,8
tt5140248,7
tt7946422,22
tt4177856,9
tt0097758,9
tt4560436,0
tt6516314,8
tt3774114,8
tt1649419,8
tt0110657,0
tt9735976,4
tt8508734,13
tt7492760,8
tt10235600,13
tt10127684,8
tt2996950,13
tt9866072,4
tt2172935,17
tt11240506,13
tt13150630,7
tt1252596,4
tt3208026,0
tt9185316,8
tt7488208,9
tt6370266,7
tt11284280,13
tt8835552,8
tt1648186,4
tt8769032,8
tt6866224,8
tt2235695,8
tt0169599,3
tt0497335,8
tt2552296,4
tt3766102,8
tt6350558,8
tt0102058,3
tt7138456,7
tt0377610,8
tt1094275,8
tt9163340,4
tt0170803,7
tt0448267,8
