title,release_year,rating,duration,listed_in,tconst,genres,averageRating
Dick Johnson Is Dead,2020,PG-13,90,Documentaries,tt11394180,"Biography,Documentary,Drama",7.4
My Little Pony: A New Generation,2021,PG,91,Children & Family Movies,tt10101702,"Adventure,Animation,Comedy",6.8
Sankofa,1993,TV-MA,125,"Dramas, Independent Movies, International Movies",tt0108041,Drama,7.0
The Starling,2021,PG-13,104,"Comedies, Dramas",tt5164438,"Comedy,Drama",6.3
Je Suis Karl,2021,TV-MA,127,"Dramas, International Movies",tt9205538,"Drama,Romance,Thriller",5.5
Confessions of an Invisible Girl,2021,TV-PG,91,"Children & Family Movies, Comedies",tt15204288,"Comedy,Drama",5.2
Intrusion,2021,TV-14,94,Thrillers,tt5563324,"Drama,Thriller",5.2
Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,TV-Y,61,Children & Family Movies,tt15296598,"Animation,Family",6.2
Jeans,1998,TV-14,166,"Comedies, International Movies, Romantic Movies",tt0151121,"Comedy,Drama,Romance",6.4
Grown Ups,2010,PG-13,103,Comedies,tt1375670,Comedy,5.9
Dark Skies,2013,PG-13,97,"Horror Movies, Sci-Fi & Fantasy",tt2387433,"Horror,Sci-Fi,Thriller",6.3
Paranoia,2013,PG-13,106,Thrillers,tt1413495,"Drama,Thriller",5.6
Ankahi Kahaniya,2021,TV-14,111,"Dramas, Independent Movies, International Movies",tt15250998,"Drama,Romance",5.5
The Father Who Moves Mountains,2021,TV-MA,110,"Dramas, International Movies, Thrillers",tt8886670,"Drama,Thriller",5.6
Jaws,1975,PG,124,"Action & Adventure, Classic Movies, Dramas",tt0073195,"Adventure,Thriller",8.1
Jaws 2,1978,PG,116,"Dramas, Horror Movies, Thrillers",tt0077766,"Adventure,Horror,Thriller",5.8
Jaws: The Revenge,1987,PG-13,91,"Action & Adventure, Horror Movies, Thrillers",tt0093300,"Adventure,Horror,Thriller",3.0
Safe House,2012,R,115,Action & Adventure,tt1599348,"Action,Thriller",6.7
Training Day,2001,R,122,"Dramas, Thrillers",tt0139654,"Action,Crime,Drama",7.7
InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,TV-14,99,"Action & Adventure, Anime Features, International Movies",tt0366621,"Action,Animation,Comedy",7.3
