tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating
tt9109794,Kolaigaran,2019,109,"Action,Crime,Drama",7.1
tt3548862,Face Down,2015,110,"Crime,Drama",6.3
tt9916170,The Rehearsal,2019,51,Drama,7.0
tt1679625,Missione di pace,2011,90,"Comedy,Drama",5.7
tt0451769,Imaginum,2005,82,"Animation,Family,Fantasy",4.3
tt0436794,Shape of the Moon,2004,92,Documentary,7.4
tt0278504,Insomnia,2002,118,"Drama,Mystery,Thriller",7.2
tt0087107,Czuje sie swietnie,1984,78,"Documentary,Music",3.8
tt7124092,Ghost in the Graveyard,2019,92,"Action,Drama,Horror",4.4
tt0792966,Blame it on Fidel,2006,99,"Drama,History",7.5
tt0314676,The Singing Detective,2003,109,"Comedy,Crime,Musical",5.5
tt1142372,Desert: Who Is the Man?,2007,76,Documentary,6.9
tt0079694,Panelstory or Birth of a Community,1980,96,Comedy,7.0
tt2252680,Family United,2013,95,"Comedy,Drama",6.2
tt0053214,The Remarkable Mr. Pennypacker,1959,87,Comedy,6.2
tt0488346,Wai onlawon,1976,122,"Comedy,Musical,Romance",7.3
tt4161150,A Dog's Life,2011,50,Documentary,7.0
tt1279229,Khaidi Kalidasu,1977,141,"Action,Drama",7.9
tt0476762,Big Brother,2007,128,"Action,Crime,Drama",4.0
tt3120314,Shark Exorcist,2015,71,"Action,Fantasy,Horror",1.3
tt0181978,Bimboland,1998,90,"Comedy,Romance",4.6
tt1401625,Blame It on Mum,2009,100,Drama,5.7
tt14566964,Tirsaat,2022,136,Drama,8.4
tt1856013,I Need You,2011,68,"Drama,Romance",4.2
tt0274764,Rock Dancer,1995,168,"Crime,Drama,Musical",4.6
tt0205936,Five Seconds to Spare,2000,99,"Crime,Mystery,Thriller",5.1
tt1432202,Fulton Fish Market U.S.A.,2009,80,Documentary,8.0
tt9875590,Hotel Mundial,2019,74,Drama,7.6
tt1737235,Prem by Chance,2010,160,Romance,7.0
tt10438658,Nenjamundu Nermaiyundu Odu Raja,2019,118,"Comedy,Drama",6.0
tt0361015,Ssshhh... She Walks by Night,2003,105,Drama,6.4
tt0119819,Office Killer,1997,82,"Comedy,Crime,Horror",5.1
tt0055529,Tokyo Knights,1961,82,"Action,Crime",6.1
tt3982854,Song of My Mother,2014,103,"Drama,Family",6.6
tt0088929,Club Life,1986,93,"Action,Drama,Thriller",4.7
tt0256022,Fantoche,1977,100,Drama,6.2
tt1805492,Robo-G,2012,111,"Comedy,Drama",6.8
tt0984130,Miao Miao,2008,83,"Comedy,Drama,Romance",6.2
tt1320250,A Gangland Love Story,2010,106,"Crime,Drama,Romance",4.8
tt0041561,Kronblom kommer till stan,1949,93,Comedy,4.1
tt0275652,Sara,2001,120,Drama,8.4
tt5245942,The Trolls,2016,97,Comedy,5.2
tt0352572,Nos reimos de la migra (destrampados y mojados),1976,100,Comedy,5.7
tt0407551,Autumn,2004,110,"Crime,Drama",6.1
tt0270889,Corazón salvaje,1956,78,Drama,6.5
tt0902299,Live Salon with Faisal Abdu'Allah,2006,70,Documentary,6.7
tt11270054,The Daughter,2021,122,"Adventure,Thriller",6.2
tt9081418,Shrimoti Bhoyonkori,2018,54,Romance,5.0
tt0099344,Gallant Ladies,1990,120,Comedy,5.6
tt2094810,Dead Weight,2012,89,"Drama,Horror,Thriller",4.9
tt5176632,The Oddsockeaters,2016,83,"Adventure,Animation,Comedy",5.6
tt0052365,The Vikings,1958,116,"Action,Adventure,History",7.0
tt9097170,A Road to Spring,2019,99,"Drama,Romance",6.3
tt0179809,The Fighting Redhead,1949,55,Western,6.6
tt8652728,Waves,2019,135,"Drama,Romance,Sport",7.5
tt0208429,Santo in the Vengeance of the Mummy,1971,87,"Action,Adventure,Horror",5.3
tt0088127,Sista leken,1984,97,Thriller,5.5
tt1821636,The Big Idea,2010,98,Comedy,5.2
tt8224418,Sahibini Arayan Madalya,1991,101,War,5.8
tt0185350,Han yan cui,1968,101,"Drama,Romance",5.9
tt0249672,A Labor of Love,1976,70,Documentary,6.7
tt0098216,Roller Blade Warriors: Taken by Force,1989,81,"Action,Adventure,Sci-Fi",3.5
tt0896811,Friends (with Benefits),2009,94,"Comedy,Romance",5.2
tt1372266,Kisaan,2009,100,"Action,Crime,Drama",5.5
tt0425985,The Chinese Botanist's Daughters,2006,105,"Drama,Romance",6.6
tt0140686,Wegen Verführung Minderjähriger,1960,95,Drama,7.5
tt0082423,Från och med herr Gunnar Papphammar,1981,47,Comedy,6.4
tt5799362,Chouquette,2017,83,Comedy,4.5
tt3173566,The Magician,2013,90,"Horror,Thriller",5.2
tt13682668,BTTF Project 85: The Back to the Future Fan Remake,2020,120,Sci-Fi,5.3
tt3089416,Stray from the Flock: Story of a Black Atheist,2013,51,"Biography,Documentary,Family",7.8
tt0077136,Akwarele,1978,80,"Drama,Romance",6.1
tt2702670,I Want to Be an American,2013,70,"Biography,Documentary,Drama",6.7
tt0088844,Bras de fer,1985,107,Thriller,6.1
tt4439784,Ted Sieger's Molly Monster - Der Kinofilm,2016,72,"Adventure,Animation,Fantasy",6.0
tt2516326,Erasing Eden,2016,90,Drama,5.0
tt1727770,Absolutely Anything,2015,85,"Comedy,Sci-Fi",5.9
tt6422258,Albanian Gangster,2018,81,"Crime,Drama",4.6
tt0991350,Les randonneurs à Saint-Tropez,2008,105,Comedy,4.6
tt0073298,Lisztomania,1975,103,"Biography,Comedy,Music",6.1
tt0124062,Those Damned Kids,1947,93,"Crime,Drama,Family",7.1
tt0060773,Objective 500 Million,1966,90,"Crime,Drama,Thriller",6.2
tt0120142,The Sixth Man,1997,107,"Comedy,Drama,Fantasy",5.6
tt0375975,All My Children,1963,93,Drama,7.4
tt0043441,Cyclone Fury,1951,53,Western,6.2
tt0094060,Striker,1988,90,"Action,Drama",4.6
tt5463002,King of Prism by PrettyRhythm,2016,59,Animation,5.8
tt0121702,La rosales,1984,80,Drama,6.7
tt8066708,Private Armies,2007,54,Documentary,6.8
tt7027850,I'm Underage But I'm Not a Child,2017,105,"Comedy,Family,Musical",6.1
tt13173736,3 Demons,2022,97,Horror,3.9
tt2493486,Last Knights,2015,115,"Action,Drama,History",6.1
tt1551614,Blowback,2022,93,"Action,Crime,Thriller",4.2
tt2708254,Life of a King,2013,100,Drama,6.9
tt1893195,A.C.A.B. - All Cops Are Bastards,2012,112,"Action,Crime,Drama",6.6
tt0331906,Boogiepop and Others,2000,109,Horror,5.6
tt0242576,King Kong,1962,142,"Action,Adventure,Comedy",6.3
tt3803664,Lost Wilderness,2015,101,"Adventure,Family",4.5
tt6978268,Omerta,2017,98,"Action,Biography,Crime",7.1
tt0048388,"Mord, lilla vän",1955,88,"Crime,Drama,Mystery",5.5
tt0071378,High School Girl,1974,90,Comedy,5.5
tt5594648,Callshop Istanbul,2015,98,Documentary,6.7
tt0083817,From the Abyss,1980,100,Drama,5.7
tt14631504,Blue Magic - How Viagra Changed the World,2020,86,Documentary,7.2
tt6168848,The Cara Project,2016,63,Documentary,4.1
tt6001910,Enakku Veru Engum Kilaigal Kidayathu,2016,124,"Comedy,Drama",4.6
tt9844004,Messi,2017,130,Sport,6.4
tt7640120,Otvorenih ociju,2017,45,"Biography,Documentary,Sport",9.2
tt0036755,The Desert Song,1943,95,"Adventure,Musical,War",5.9
tt4549932,Love Will Change the Earth,2014,107,Documentary,6.9
tt4242392,Life is Waiting: Referendum and Resistance in Western Sahara,2015,61,"Documentary,History,News",7.0
tt0081560,Stern ohne Himmel,1980,86,Drama,4.5
tt3234050,Sprouting Orchids,2014,70,"Mystery,Romance,Sci-Fi",7.6
tt0101706,The Savage Woman,1991,105,Drama,6.8
tt0104095,Deutschfieber,1992,126,"Comedy,Drama",4.3
tt4459156,55 Steps,2017,115,"Biography,Drama",6.9
tt1997605,My Sassy Girl 2,2010,88,"Comedy,Romance",4.8
tt1298699,Cannibal Suburbia,2008,80,"Comedy,Horror",4.2
tt0364726,Unearthed,2004,126,"Horror,Sci-Fi",2.4
tt0112281,Ace Ventura: When Nature Calls,1995,90,"Adventure,Comedy,Crime",6.4
tt0114642,El techo del mundo,1995,85,Drama,7.3
tt0204518,Nippon No Yoru: Onna Onna Onna Monogatari,1963,80,Documentary,4.8
tt18970380,The Taming of the Shrewd,2022,112,"Comedy,Romance",4.5
tt0811047,Predatory Instinct,2009,90,"Horror,Thriller",3.2
tt11388244,BEER! A Love Story,2019,90,Documentary,7.3
tt0969706,Forest of Death,2007,98,"Crime,Horror,Thriller",4.1
tt0453450,Among Brothers,2005,85,"Crime,Drama,Thriller",5.3
tt6315872,Moomins and the Winter Wonderland,2017,82,"Adventure,Animation,Comedy",5.6
tt0410316,Mi Mejor Enemigo,2005,100,"Comedy,Drama",7.2
tt0342984,City Sharks,2003,90,Comedy,7.2
tt4327184,Neden Tarkovski Olamiyorum...,2014,110,"Comedy,Drama",6.5
tt0070001,Doctor Death: Seeker of Souls,1973,89,Horror,5.6
tt6449358,Horror Stories III,2016,94,"Horror,Sci-Fi",5.2
tt0035788,Death Valley Rangers,1943,59,Western,5.6
tt12292314,New Kung Fu Cult Master,2022,114,"Action,Fantasy",4.8
tt0082478,Grendel Grendel Grendel,1981,88,"Adventure,Animation,Comedy",6.8
tt13884328,Summer,2021,109,Drama,7.4
tt0084564,Queen Millennia,1982,121,"Action,Adventure,Animation",7.4
tt6197028,The Coming War on China,2016,113,"Documentary,History",7.0
tt5189772,The Drama Club,2017,87,Drama,7.8
tt14416450,Buster's World,2021,92,Family,6.5
tt12953434,Clownz R Us,2020,46,"Horror,Thriller",6.2
tt4625084,Zdraviya zhelayu! ili Beshenyy dembel,1990,76,Comedy,5.0
tt0490114,Octane,2007,112,"Action,Drama,Romance",4.0
tt2006737,Fastwalkers,2006,92,Documentary,6.1
tt5723282,Endless,2020,95,"Drama,Fantasy,Romance",4.8
tt0130792,Innocents Abroad,1991,84,Documentary,6.3
tt0076185,In the Name of the Pope King,1977,105,"Drama,History",7.4
tt0138882,Touha Sherlocka Holmese,1971,97,"Comedy,Crime",4.8
tt0050466,Gun Duel in Durango,1957,73,Western,5.9
tt10919184,After the Winter,2021,101,Drama,6.8
tt0107404,Lichnaya zhizn korolevy,1993,74,Comedy,3.8
tt15022446,Petit Mal,2022,89,Drama,7.4
tt0319742,The Pleasures of Sin,1964,100,Drama,5.7
tt0075204,The Shaolin Boxer,1974,75,"Action,Adventure",6.0
tt1202025,The Crocs,2008,87,"Action,Comedy",4.9
tt0447366,Planting Melvin,2005,99,Drama,5.4
tt2370802,Gazzara,2012,94,Documentary,6.9
tt0044382,The Atomic City,1952,85,"Action,Crime,Drama",6.1
tt0244484,Desperate,1991,90,Drama,7.7
tt8254556,Girl,2018,105,Drama,7.1
tt0100784,The Law,1990,81,"Drama,Romance",6.9
tt0777942,The Politicians,1983,136,Mystery,6.0
tt0068463,Decameron proibitissimo (Boccaccio mio statte zitto),1972,92,Comedy,4.7
tt5803868,Bosch: The Garden of Dreams,2016,90,Documentary,6.9
tt0137795,Le grand bluff,1957,94,"Comedy,Drama",5.0
tt0206805,Nós Que Aqui Estamos por Vós Esperamos,1999,73,Documentary,8.1
tt5182526,Ben,2015,115,"Drama,Family",7.1
tt5061162,The Teacher,2016,102,"Comedy,Drama",7.2
tt1996264,"For a Good Time, Call...",2012,85,Comedy,6.0
tt5326520,Murder on the Cape,2017,95,"Crime,Drama,Mystery",2.7
tt0384533,She Hate Me,2004,138,"Comedy,Drama",5.3
tt2125480,Dancing in Jaffa,2013,90,"Documentary,Drama,Family",6.8
tt2258425,The End of Puberty,2011,116,Drama,4.9
tt0810411,Lay Down Tracks,2006,60,Documentary,7.6
tt0117756,Strange Ways,1993,93,"Drama,Thriller",7.4
tt3162622,Black Soup,2014,94,Comedy,5.6
tt0161931,The Professor,1971,120,"Comedy,Drama,Family",6.8
tt0164360,Qing gong qi shi lu,1983,86,"Action,Adventure",6.9
tt1648186,Fisherman's Friends,2019,112,"Comedy,Drama,Music",7.0
tt0339878,Waah! Tera Kya Kehna,2002,100,"Action,Comedy,Crime",3.8
tt1593655,Browncoats: Redemption,2010,96,Sci-Fi,5.0
tt11160638,Apocalypse A-Go-Go,2021,85,Drama,7.4
tt3904952,Spell,2014,80,Horror,4.8
tt4729430,Klaus,2019,96,"Adventure,Animation,Comedy",8.1
tt1333132,Where Are You Sophia?,2009,95,"Horror,Thriller",6.8
tt0054945,The Grouch,1952,108,"Comedy,Drama",7.5
tt0096971,The Bounty Hunter,1989,90,"Action,Crime",4.6
tt8016356,Bheemasena Nalamaharaja,2020,140,Drama,6.8
tt1825755,Lust,2010,135,"Drama,Horror",5.9
tt1592175,Rainbows End,2010,90,"Comedy,Documentary,Drama",8.6
tt0185598,Pea Soup,1979,94,Documentary,6.3
tt6515342,Knock,2017,113,Comedy,6.1
tt0105710,Az utolsó nyáron,1991,94,Drama,5.9
tt2393784,The V: Return of the Galaxy,2013,100,Adventure,9.0
tt1053810,The Big Year,2011,102,Comedy,6.2
tt11713638,Aos Pedaços,2020,93,Drama,6.3
tt0053711,Jack of Spades,1960,90,Drama,6.6
tt0326923,Stripping,2002,74,"Comedy,Drama",4.7
tt0203520,Moon Mask Rider,1982,108,"Action,Adventure,Fantasy",5.8
tt0816579,Meistersinger: The Sound of Russia,2003,59,Documentary,8.3
tt0093101,Twilight of the Cockroaches,1987,105,"Animation,Drama,Horror",6.4
